"Keys","Description","en_US","ru_RU","zh_CN"
"aсh_2",,"Play for 24 hours","Провести в игре 24 часа","玩过24个小时"
"aсh_3",,"Complete 1 level in one session","Пройти за один раз 1 уровень","一举玩过1等级"
"aсh_4",,"Complete 10 levels in one session","Пройти  за один раз 10 уровней","一举玩过10等级"
"aсh_5",,"Complete 100 levels in one session","Пройти  за один раз 100 уровней","一举玩过100等级"
"aсh_6",,"Complete 50 levels total","Пройти 50 уровней за все время","玩过50等级整个时间"
"aсh_7",,"Complete 250 levels total","Пройти 250 уровней за все время","玩过250等级整个时间"
"aсh_8",,"Complete 1,000 levels total","Пройти 1000 уровней за все время","玩过1000等级整个时间"
"aсh_9",,"Destroy 5 ships in one session","Уничтожить за один раз 5 кораблей","一举毁灭5条舰艇"
"aсh_10",,"Destroy 25 ships in one session","Уничтожить за один раз 25 кораблей","一举毁灭20条舰艇"
"aсh_11",,"Destroy 100 ships in one session","Уничтожить за один раз 100 кораблей","一举毁灭100条舰艇"
"aсh_12",,"Destroy 25 ships total","Уничтожить 25 кораблей за все время","毁灭25条舰艇整个时间"
"aсh_13",,"Destroy 500 ships total","Уничтожить 500 кораблей за все время","毁灭500条舰艇整个时间"
"aсh_14",,"Destroy 1,000 ships total","Уничтожить 1000 кораблей за все время","毁灭1000条舰艇整个时间"
"aсh_15",,"Destroy 5 round ships in one session","Уничтожить за один раз 5 круглых кораблей","一举毁灭5条圆形的舰艇"
"aсh_16",,"Destroy 50 round ships total","Уничтожить 50 круглых кораблей за все время","毁灭50条圆形的舰艇整个时间"
"aсh_17",,"Destroy 5 oval ships in one session","Уничтожить за один раз 5 овальных кораблей","一举毁灭5条卵形的舰艇"
"aсh_18",,"Destroy 50 oval ships total","Уничтожить 50 овальных кораблей за все время","毁灭50条卵形的舰艇整个时间"
"aсh_19",,"Destroy 5 square ships in one session","Уничтожить за один раз 5 квадратных кораблей","一举毁灭5条方形的舰艇"
"aсh_20",,"Destroy 50 square ships total","Уничтожить 50 квадратных кораблей за все время","毁灭50条方形的舰艇整个时间"
"aсh_21",,"Destroy 5 triangle ships in one session","Уничтожить за один раз 5 треугольных кораблей","一举毁灭5条三角的舰艇"
"aсh_22",,"Destroy 50 triangle ships total","Уничтожить 50 треугольных кораблей за все время","毁灭50条三角的舰艇整个时间"
"aсh_23",,"Destroy 5 rectangular ships in one session","Уничтожить за один раз 5 прямоугольных кораблей","一举毁灭5条直角形的舰艇"
"aсh_24",,"Destroy 50 rectangular ships total","Уничтожить 50 прямоугольных кораблей за все время","毁灭50条直角形的舰艇整个时间"
"aсh_25",,"Destroy 5 rhombic ships in one session","Уничтожить за один раз 5 ромбических кораблей","一举毁灭5条菱形的舰艇"
"aсh_26",,"Destroy 50 rhombic ships total","Уничтожить 50 ромбических кораблей за все время","毁灭50条菱形的舰艇整个时间"
"aсh_27",,"Destroy 5 pentagon ships in one session","Уничтожить за один раз 5 пятиугольных кораблей","一举毁灭5条五角的舰艇"
"aсh_28",,"Destroy 50 pentagon ships total","Уничтожить 50 пятиугольных кораблей за все время","毁灭50条五角的舰艇整个时间"
"aсh_29",,"Destroy 5 hexagon ships in one session","Уничтожить за один раз 5 шестиугольных кораблей","一举毁灭5条六角形的舰艇"
"aсh_30",,"Destroy 50 hexagon ships total","Уничтожить 50 шестиугольных кораблей за все время","毁灭50条六角形的舰艇整个时间"
"aсh_31",,"Use 500 energy in one session","Потратить за один раз 500 энергии","一举消耗500能量"
"aсh_32",,"Use 1,000 energy total","Потратить 1000 энергии за все время","消耗1000能量整个时间"
"aсh_33",,"Use 10,000 energy total","Потратить 10000 энергии за все время","消耗10000能量整个时间"
